ELEMENT,SOURCE,INDEX,GENERATION RATE,ENTHALPY,X1,X2,TIME
NA452,GEN10,1,0.10000E-01,0.10000E+07,0.10000E+01,0.00000E+00,0.52963E+04
NA452,GEN10,1,0.10000E-01,0.10000E+07,0.10000E+01,0.00000E+00,0.54792E+04
NA452,GEN10,1,0.10000E-01,0.10000E+07,0.10000E+01,0.00000E+00,0.56609E+04
NA452,GEN10,1,0.10000E-01,0.10000E+07,0.10000E+01,0.00000E+00,0.58438E+04
NA452,GEN10,1,0.10000E-01,0.10000E+07,0.10000E+01,0.00000E+00,0.60266E+04
NA452,GEN10,1,0.10000E-01,0.10000E+07,0.10000E+01,0.00000E+00,0.62095E+04
NA452,GEN10,1,0.10000E-01,0.10000E+07,0.10000E+01,0.00000E+00,0.63924E+04
NA452,GEN10,1,0.10000E-01,0.10000E+07,0.10000E+01,0.00000E+00,0.65741E+04
NA452,GEN10,1,0.10000E-01,0.10000E+07,0.10000E+01,0.00000E+00,0.67569E+04
NA452,GEN10,1,0.10000E-01,0.10000E+07,0.10000E+01,0.00000E+00,0.69398E+04
NA452,GEN10,1,0.10000E-01,0.10000E+07,0.10000E+01,0.00000E+00,0.71227E+04
NA452,GEN10,1,0.10000E-01,0.10000E+07,0.10000E+01,0.00000E+00,0.73056E+04
NA452,GEN10,1,0.10000E-01,0.10000E+07,0.10000E+01,0.00000E+00,0.74873E+04
NA452,GEN10,1,0.10000E-01,0.10000E+07,0.10000E+01,0.00000E+00,0.76701E+04
NA452,GEN10,1,0.10000E-01,0.10000E+07,0.10000E+01,0.00000E+00,0.78530E+04
NA452,GEN10,1,0.10000E-01,0.10000E+07,0.10000E+01,0.00000E+00,0.80359E+04
NA452,GEN10,1,0.10000E-01,0.10000E+07,0.10000E+01,0.00000E+00,0.82176E+04
NA452,GEN10,1,0.10000E-01,0.10000E+07,0.10000E+01,0.00000E+00,0.84005E+04
NA452,GEN10,1,0.10000E-01,0.10000E+07,0.10000E+01,0.00000E+00,0.85833E+04
NA452,GEN10,1,0.10000E-01,0.10000E+07,0.10000E+01,0.00000E+00,0.87662E+04
NA452,GEN10,1,0.10000E-01,0.10000E+07,0.10000E+01,0.00000E+00,0.89491E+04
NA452,GEN10,1,0.10000E-01,0.10000E+07,0.10000E+01,0.00000E+00,0.91308E+04
NA452,GEN10,1,0.10000E-01,0.10000E+07,0.10000E+01,0.00000E+00,0.93137E+04
NA452,GEN10,1,0.10000E-01,0.10000E+07,0.10000E+01,0.00000E+00,0.94965E+04
NA452,GEN10,1,0.10000E-01,0.10000E+07,0.10000E+01,0.00000E+00,0.96794E+04
NA452,GEN10,1,0.10000E-01,0.10000E+07,0.10000E+01,0.00000E+00,0.98623E+04
NA452,GEN10,1,0.10000E-01,0.10000E+07,0.10000E+01,0.00000E+00,0.10044E+05
NA452,GEN10,1,0.10000E-01,0.10000E+07,0.10000E+01,0.00000E+00,0.10227E+05
NA452,GEN10,1,0.10000E-01,0.10000E+07,0.10000E+01,0.00000E+00,0.10410E+05
NA452,GEN10,1,0.10000E-01,0.10000E+07,0.10000E+01,0.00000E+00,0.10593E+05
NA452,GEN10,1,0.10000E-01,0.10000E+07,0.10000E+01,0.00000E+00,0.10774E+05
NA452,GEN10,1,0.10000E-01,0.10000E+07,0.10000E+01,0.00000E+00,0.10957E+05
NA452,GEN10,1,0.10000E-01,0.10000E+07,0.10000E+01,0.00000E+00,0.11140E+05
NA452,GEN10,1,0.10000E-01,0.10000E+07,0.10000E+01,0.00000E+00,0.11323E+05
NA452,GEN10,1,0.10000E-01,0.10000E+07,0.10000E+01,0.00000E+00,0.11506E+05
NA452,GEN10,1,0.10000E-01,0.10000E+07,0.10000E+01,0.00000E+00,0.11690E+05
NA452,GEN10,1,0.10000E-01,0.10000E+07,0.10000E+01,0.00000E+00,0.11875E+05
NA452,GEN10,1,0.10000E-01,0.10000E+07,0.10000E+01,0.00000E+00,0.12049E+05
NA452,GEN10,1,0.10000E-01,0.10000E+07,0.10000E+01,0.00000E+00,0.12234E+05
NA452,GEN10,1,0.10000E-01,0.10000E+07,0.10000E+01,0.00000E+00,0.12419E+05
NA452,GEN10,1,0.10000E-01,0.10000E+07,0.10000E+01,0.00000E+00,0.12604E+05
NA452,GEN10,1,0.10000E-01,0.10000E+07,0.10000E+01,0.00000E+00,0.12789E+05
NA452,GEN10,1,0.10000E-01,0.10000E+07,0.10000E+01,0.00000E+00,0.12963E+05
NA452,GEN10,1,0.10000E-01,0.10000E+07,0.10000E+01,0.00000E+00,0.13148E+05
NA452,GEN10,1,0.10000E-01,0.10000E+07,0.10000E+01,0.00000E+00,0.13333E+05
NA452,GEN10,1,0.10000E-01,0.10000E+07,0.10000E+01,0.00000E+00,0.13519E+05
NA452,GEN10,1,0.10000E-01,0.10000E+07,0.10000E+01,0.00000E+00,0.13692E+05
NA452,GEN10,1,0.10000E-01,0.10000E+07,0.10000E+01,0.00000E+00,0.13877E+05
NA452,GEN10,1,0.10000E-01,0.10000E+07,0.10000E+01,0.00000E+00,0.14062E+05
NA452,GEN10,1,0.10000E-01,0.10000E+07,0.10000E+01,0.00000E+00,0.14248E+05
NA452,GEN10,1,0.10000E-01,0.10000E+07,0.10000E+01,0.00000E+00,0.14433E+05
NA452,GEN10,1,0.10000E-01,0.10000E+07,0.10000E+01,0.00000E+00,0.14606E+05
NA452,GEN10,1,0.10000E-01,0.10000E+07,0.10000E+01,0.00000E+00,0.14792E+05
NA452,GEN10,1,0.10000E-01,0.10000E+07,0.10000E+01,0.00000E+00,0.14977E+05
NA452,GEN10,1,0.10000E-01,0.10000E+07,0.10000E+01,0.00000E+00,0.15162E+05
NA452,GEN10,1,0.10000E-01,0.10000E+07,0.10000E+01,0.00000E+00,0.15336E+05
NA452,GEN10,1,0.10000E-01,0.10000E+07,0.10000E+01,0.00000E+00,0.15521E+05
NA452,GEN10,1,0.10000E-01,0.10000E+07,0.10000E+01,0.00000E+00,0.15706E+05
NA452,GEN10,1,0.10000E-01,0.10000E+07,0.10000E+01,0.00000E+00,0.15891E+05
NA452,GEN10,1,0.10000E-01,0.10000E+07,0.10000E+01,0.00000E+00,0.16076E+05
NA452,GEN10,1,0.10000E-01,0.10000E+07,0.10000E+01,0.00000E+00,0.16250E+05
NA452,GEN10,1,0.10000E-01,0.10000E+07,0.10000E+01,0.00000E+00,0.16435E+05
NA452,GEN10,1,0.10000E-01,0.10000E+07,0.10000E+01,0.00000E+00,0.16620E+05
NA452,GEN10,1,0.10000E-01,0.10000E+07,0.10000E+01,0.00000E+00,0.16806E+05
NA452,GEN10,1,0.10000E-01,0.10000E+07,0.10000E+01,0.00000E+00,0.16979E+05
NA452,GEN10,1,0.10000E-01,0.10000E+07,0.10000E+01,0.00000E+00,0.17164E+05
NA452,GEN10,1,0.10000E-01,0.10000E+07,0.10000E+01,0.00000E+00,0.17350E+05
NA452,GEN10,1,0.10000E-01,0.10000E+07,0.10000E+01,0.00000E+00,0.17535E+05
NA452,GEN10,1,0.10000E-01,0.10000E+07,0.10000E+01,0.00000E+00,0.17720E+05
NA452,GEN10,1,0.10000E-01,0.10000E+07,0.10000E+01,0.00000E+00,0.17894E+05
NA452,GEN10,1,0.10000E-01,0.10000E+07,0.10000E+01,0.00000E+00,0.18079E+05
NA452,GEN10,1,0.10000E-01,0.10000E+07,0.10000E+01,0.00000E+00,0.18264E+05
NA452,GEN10,1,0.10000E-01,0.10000E+07,0.10000E+01,0.00000E+00,0.48547E+09
