MD,P,T
531.0,32.088,158.925
533.0,32.254,158.985
535.0,32.427,159.015
537.0,32.604,158.946
539.0,32.773,158.761
541.0,32.952,158.618
543.0,33.139,158.544
545.0,33.294,158.456
547.0,33.442,158.258
549.0,33.606,158.054
551.0,33.782,157.974
553.0,33.959,157.953
555.0,34.133,157.967
557.0,34.305,158.004
559.0,34.473,158.045
561.0,34.64,158.09
563.0,34.812,158.129
565.0,34.992,158.16
567.0,35.164,158.159
569.0,35.299,158.131
571.0,35.424,158.128
573.0,35.584,158.148
575.0,35.763,158.197
577.0,35.93,158.255
579.0,36.107,158.318
581.0,36.279,158.373
583.0,36.452,158.433
585.0,36.619,158.496
587.0,36.79,158.565
589.0,36.968,158.638
591.0,37.137,158.713
593.0,37.312,158.787
595.0,37.489,158.862
597.0,37.656,158.939
599.0,37.822,159.026
601.0,37.995,159.118
603.0,38.159,159.2
605.0,38.325,159.295
607.0,38.504,159.378
609.0,38.68,159.464
611.0,38.849,159.554
613.0,39.017,159.633
615.0,39.191,159.717
617.0,39.348,159.799
619.0,39.493,159.825
621.0,39.648,159.834
623.0,39.814,159.852
625.0,39.978,159.88
627.0,40.16,159.911
629.0,40.323,159.948
631.0,40.481,159.993
633.0,40.647,160.033
635.0,40.816,160.09
637.0,40.98,160.148
639.0,41.147,160.214
641.0,41.322,160.281
643.0,41.489,160.351
645.0,41.653,160.433
647.0,41.812,160.529
649.0,41.976,160.623
651.0,42.151,160.731
653.0,42.32,160.833
655.0,42.487,160.956
657.0,42.659,161.045
659.0,42.822,161.162
661.0,42.982,161.289
663.0,43.148,161.39
665.0,43.313,161.519
667.0,43.482,161.62
669.0,43.65,161.747
671.0,43.819,161.893
673.0,43.973,162.017
675.0,44.107,162.107
677.0,44.243,162.251
679.0,44.403,162.403
681.0,44.58,162.557
683.0,44.743,162.693
685.0,44.907,162.827
687.0,45.07,162.982
689.0,45.233,163.109
691.0,45.385,163.26
693.0,45.547,163.392
695.0,45.716,163.535
697.0,45.87,163.66
699.0,46.027,163.788
701.0,46.199,163.925
703.0,46.359,164.065
705.0,46.517,164.19
707.0,46.68,164.331
709.0,46.843,164.487
711.0,47.007,164.626
713.0,47.156,164.751
715.0,47.306,164.904
717.0,47.47,165.088
719.0,47.635,165.268
721.0,47.792,165.433
723.0,47.947,165.605
725.0,48.105,165.834
727.0,48.259,166.012
729.0,48.418,166.264
731.0,48.57,166.472
733.0,48.73,166.646
735.0,48.891,166.86
737.0,49.049,167.121
739.0,49.209,167.358
741.0,49.362,167.596
743.0,49.512,167.89
745.0,49.672,168.23
747.0,49.833,168.52
749.0,49.99,168.864
751.0,50.147,169.175
753.0,50.304,169.417
755.0,50.458,169.749
757.0,50.614,170.131
759.0,50.768,170.539
761.0,50.936,171.056
763.0,51.092,171.137
765.0,51.212,171.168
767.0,51.311,171.2
769.0,51.451,171.222
771.0,51.61,171.248
773.0,51.779,171.272
775.0,51.935,171.288
777.0,52.095,171.302
779.0,52.249,171.318
781.0,52.402,171.331
783.0,52.559,171.343
785.0,52.711,171.352
787.0,52.872,171.362
789.0,53.02,171.371
791.0,53.172,171.384
793.0,53.331,171.395
795.0,53.481,171.406
797.0,53.648,171.413
799.0,53.806,171.424
801.0,53.957,171.436
803.0,54.111,171.449
805.0,54.262,171.459
807.0,54.426,171.473
809.0,54.581,171.487
811.0,54.735,171.5
813.0,54.892,171.515
815.0,55.041,171.526
817.0,55.198,171.537
819.0,55.358,171.548
821.0,55.511,171.558
823.0,55.666,171.568
825.0,55.821,171.58
827.0,55.973,171.592
829.0,56.132,171.605
831.0,56.277,171.618
833.0,56.414,171.63
835.0,56.565,171.641
837.0,56.724,171.653
839.0,56.883,171.664
841.0,57.039,171.677
843.0,57.19,171.69
845.0,57.345,171.7
847.0,57.503,171.71
849.0,57.659,171.723
851.0,57.814,171.736
853.0,57.97,171.748
855.0,58.124,171.757
857.0,58.28,171.764
859.0,58.442,171.773
861.0,58.608,171.782
863.0,58.764,171.793
865.0,58.903,171.802
867.0,59.041,171.81
869.0,59.187,171.819
871.0,59.337,171.827
873.0,59.496,171.836
