MD,P,T
0.0,14.71,196.6
100.0,14.74,200.0
200.0,14.76,201.1
250.0,14.79,201.4
300.0,14.85,201.5
350.0,14.85,201.5
400.0,14.85,201.4
450.0,14.87,201.6
500.0,14.93,201.5
550.0,14.93,201.5
600.0,15.65,203.6
650.0,19.73,207.8
663.0,20.85,211.1
700.0,23.99,216.3
750.0,28.17,224.5
800.0,32.3,227.2
850.0,36.53,227.4
900.0,40.85,220.9
950.0,44.95,220.0
1000.0,49.3,219.4
1050.0,53.49,218.4
1100.0,57.8,217.4
1150.0,62.04,217.2
1200.0,66.38,217.3
1250.0,70.65,217.3
1300.0,75.04,217.4
1350.0,79.23,217.5
1400.0,83.6,217.6
1450.0,87.94,217.7
