MD,P,T
0.0,0.0,120.2
41.0,0.0,121.7
116.0,0.0,122.2
191.0,0.0,122.6
266.0,3.363668,142.7
341.0,9.218216,165.7
416.0,15.33754,176.6
491.0,21.58436,188.4
566.0,27.94885,187.8
641.0,34.2545,188.8
716.0,40.56015,192.4
791.0,46.72852,196.6
866.0,53.01455,201.1
941.0,59.25156,205.0
991.0,63.39976,206.0
1041.0,67.54795,203.4
1100.0,72.45126,203.4
1116.0,74.34393,203.4
1141.0,75.913,203.4
1166.0,78.05083,203.2
1191.0,80.18867,203.0
1216.0,82.1402,203.1
1241.0,84.27804,203.0
1266.0,86.32762,203.1
1291.0,88.45565,203.2
1316.0,90.4562,203.3
1350.0,93.25108,203.4
1366.0,94.71227,203.5
1391.0,96.71283,204.5
1416.0,98.84086,205.4
1441.0,100.9101,206.4
1466.0,102.9694,206.9
1500.0,105.8428,208.8
1566.0,111.2168,211.9
1641.0,117.4146,215.2
1716.0,123.6026,217.1
1791.0,129.8003,217.8
