MD,P,T
0.0,1.927,131.24
0.0,1.927,131.24
4.0,1.913,131.26
8.0,1.895,131.26
12.0,1.893,131.28
16.0,1.888,131.28
20.0,1.888,131.29
24.0,1.883,131.3
28.0,1.88,131.3
32.0,1.882,131.31
36.0,1.879,131.32
40.0,1.877,131.33
44.0,1.873,131.34
48.0,1.871,131.345
52.0,1.872,131.35
56.0,1.871,131.357
60.0,1.872,131.36
64.0,1.871,131.37
68.0,1.87,131.38
72.0,1.873,131.391
76.0,1.875,131.39
80.0,1.872,131.4
84.0,1.873,131.41
88.0,1.872,131.42
92.0,1.874,131.43
96.0,1.873,131.44
100.0,1.872,131.445
104.0,1.871,131.45
108.0,1.867,131.46
112.0,1.872,131.47
116.0,1.872,131.475
120.0,1.871,131.481
124.0,1.873,131.49
128.0,1.874,131.5
132.0,1.874,131.51
136.0,1.871,131.51
140.0,1.872,131.521
144.0,1.875,131.53
148.0,1.879,131.54
152.0,1.876,131.55
156.0,1.881,131.55
160.0,1.875,131.562
164.0,1.878,131.57
168.0,1.882,131.58
172.0,1.881,131.58
176.0,1.886,131.595
180.0,1.876,131.6
184.0,1.879,131.607
188.0,1.875,131.61
192.0,1.87,131.62
196.0,1.875,131.625
200.0,1.878,131.63
204.0,1.883,131.641
208.0,1.885,131.65
212.0,1.885,131.66
216.0,1.885,131.67
220.0,1.885,131.67
224.0,1.88,131.68
228.0,1.885,131.69
232.0,1.886,131.692
236.0,1.887,131.7
240.0,1.89,131.71
244.0,1.887,131.72
248.0,1.89,131.72
252.0,1.887,131.73
256.0,1.887,131.74
260.0,1.887,131.75
264.0,1.887,131.75
268.0,1.888,131.76
272.0,1.886,131.77
276.0,1.888,131.77
280.0,1.888,131.78
284.0,1.892,131.78
288.0,1.888,131.79
292.0,1.889,131.8
296.0,1.889,131.8
300.0,1.887,131.81
304.0,1.889,131.82
308.0,1.89,131.82
312.0,1.887,131.83
316.0,1.887,131.84
320.0,1.889,131.843
324.0,1.892,131.85
328.0,1.89,131.86
332.0,1.891,131.862
336.0,1.893,131.87
340.0,1.894,131.88
344.0,1.897,131.89
348.0,1.897,131.89
352.0,1.9,131.892
356.0,1.907,131.91
360.0,1.907,131.91
364.0,1.903,131.92
368.0,1.906,131.92
372.0,1.9,131.93
376.0,1.901,131.94
380.0,1.902,131.945
384.0,1.902,131.948
388.0,1.903,131.95
392.0,1.903,131.96
396.0,1.9,131.964
400.0,1.9,131.97
404.0,1.9,131.98
408.0,1.903,131.98
412.0,1.905,131.987
416.0,1.905,131.999
420.0,1.904,132.0
424.0,1.905,132.01
428.0,1.906,132.01
432.0,1.91,132.011
436.0,1.907,132.02
440.0,1.909,132.03
444.0,1.907,132.03
448.0,1.909,132.04
452.0,1.908,132.043
456.0,1.909,132.05
460.0,1.91,132.06
464.0,1.91,132.064
468.0,1.915,132.072
472.0,1.914,132.077
476.0,1.912,132.08
480.0,1.914,132.085
484.0,1.916,132.09
488.0,1.915,132.09
492.0,1.917,132.1
496.0,1.916,132.11
500.0,1.919,132.11
504.0,1.914,132.12
508.0,1.917,132.127
512.0,1.921,132.13
516.0,1.931,132.319
520.0,2.179,133.676
524.0,2.684,136.096
528.0,3.045,138.59
532.0,3.417,141.507
536.0,3.776,144.346
540.0,4.139,146.928
544.0,4.504,149.706
548.0,4.859,152.196
552.0,5.248,154.506
556.0,5.629,156.544
560.0,5.99,158.736
564.0,6.345,160.942
568.0,6.69,163.329
572.0,7.032,165.245
576.0,7.381,167.217
580.0,7.733,168.757
584.0,8.08,170.61
588.0,8.422,172.06
592.0,8.762,173.672
596.0,9.106,175.204
600.0,9.449,176.61
604.0,9.786,178.231
608.0,10.112,179.772
612.0,10.45,181.161
616.0,10.786,182.745
620.0,11.123,184.015
624.0,11.461,185.262
628.0,11.79,186.609
632.0,12.115,187.871
636.0,12.461,188.996
640.0,12.793,190.2
644.0,13.124,191.397
648.0,13.442,192.62
652.0,13.769,193.744
656.0,14.108,194.722
660.0,14.434,195.93
664.0,14.765,197.016
668.0,15.089,198.0
672.0,15.417,198.928
676.0,15.745,199.859
680.0,16.068,200.971
684.0,16.381,201.768
688.0,16.714,202.696
692.0,17.031,203.582
696.0,17.353,204.448
700.0,17.677,205.242
704.0,17.993,206.052
708.0,18.313,206.951
712.0,18.64,207.738
716.0,18.957,208.533
720.0,19.274,209.31
724.0,19.582,209.99
728.0,19.899,210.705
732.0,20.214,211.541
736.0,20.511,212.271
740.0,20.838,212.968
744.0,21.147,213.629
748.0,21.461,214.33
752.0,21.774,215.005
756.0,22.083,215.607
760.0,22.384,216.243
764.0,22.699,216.807
768.0,23.008,217.404
772.0,23.312,218.048
776.0,23.611,218.68
780.0,23.921,219.264
784.0,24.228,219.901
788.0,24.536,220.566
792.0,24.828,221.361
796.0,25.136,221.853
800.0,25.431,222.133
804.0,25.737,222.302
808.0,26.039,222.409
812.0,26.341,222.471
816.0,26.639,222.53
820.0,26.936,222.588
824.0,27.238,222.621
828.0,27.538,222.65
832.0,27.85,222.68
836.0,28.153,222.701
840.0,28.457,222.72
844.0,28.754,222.732
848.0,29.059,222.75
852.0,29.362,222.77
856.0,29.663,222.798
860.0,29.965,222.81
864.0,30.273,222.824
868.0,30.57,222.848
872.0,30.873,222.895
876.0,31.181,222.93
880.0,31.472,222.976
884.0,31.777,223.012
888.0,32.075,223.069
892.0,32.375,223.137
896.0,32.678,223.183
900.0,32.969,223.236
904.0,33.264,223.288
908.0,33.566,223.348
912.0,33.867,223.388
916.0,34.159,223.43
920.0,34.461,223.46
924.0,34.757,223.488
928.0,35.049,223.52
932.0,35.344,223.54
936.0,35.641,223.569
940.0,35.936,223.594
944.0,36.224,223.62
948.0,36.516,223.64
952.0,36.809,223.654
956.0,37.104,223.67
960.0,37.39,223.68
964.0,37.683,223.69
968.0,37.979,223.71
972.0,38.27,223.73
976.0,38.571,223.75
980.0,38.861,223.772
984.0,39.155,223.8
988.0,39.466,223.83
992.0,39.757,223.85
996.0,40.05,223.879
1000.0,40.346,223.905
1004.0,40.642,223.93
1008.0,40.936,223.96
1012.0,41.236,223.99
1016.0,41.536,224.01
1020.0,41.841,224.02
1024.0,42.135,224.035
1028.0,42.433,224.04
1032.0,42.729,224.006
1036.0,43.04,223.925
1040.0,43.331,223.813
1044.0,43.633,223.628
1048.0,43.929,223.104
1052.0,44.211,220.854
1056.0,44.512,219.57
1060.0,44.83,218.878
1064.0,45.127,218.536
1068.0,45.443,218.287
1072.0,45.748,218.169
1076.0,46.058,218.096
1080.0,46.368,218.07
1084.0,46.675,218.057
1088.0,46.987,218.056
1092.0,47.293,218.069
1096.0,47.6,218.071
1100.0,47.916,218.093
1104.0,48.221,218.094
1108.0,48.529,218.079
1112.0,48.837,218.05
1116.0,49.151,218.05
1120.0,49.453,218.05
1124.0,49.763,218.06
1128.0,50.069,218.01
1132.0,50.375,217.823
1136.0,50.688,217.581
1140.0,50.998,217.397
1144.0,51.307,217.238
1148.0,51.619,217.062
1152.0,51.924,216.951
1156.0,52.232,216.853
1160.0,52.538,216.791
1164.0,52.854,216.714
1168.0,53.175,216.634
1172.0,53.481,216.562
1176.0,53.78,216.474
1180.0,54.086,216.402
1184.0,54.398,216.361
1188.0,54.706,216.33
1192.0,55.014,216.31
1196.0,55.316,216.31
1200.0,55.623,216.301
1204.0,55.933,216.3
1208.0,56.246,216.3
1212.0,56.555,216.3
1216.0,56.863,216.31
1220.0,57.157,216.31
1224.0,57.465,216.32
1228.0,57.774,216.32
1232.0,58.075,216.32
1236.0,58.38,216.334
1240.0,58.682,216.335
1244.0,58.997,216.34
1248.0,59.299,216.34
1252.0,59.6,216.35
1256.0,59.912,216.35
1260.0,60.214,216.357
1264.0,60.523,216.36
1268.0,60.833,216.36
1272.0,61.123,216.36
1276.0,61.426,216.343
1280.0,61.728,216.266
1284.0,62.029,216.178
1288.0,62.336,215.918
1292.0,62.633,215.519
1296.0,62.934,215.235
1300.0,63.236,215.069
1304.0,63.545,214.951
1308.0,63.853,214.87
1312.0,64.163,214.783
1316.0,64.466,214.681
1320.0,64.772,214.6
1324.0,65.083,214.507
1328.0,65.376,214.301
1332.0,65.677,213.904
1336.0,65.979,213.56
1340.0,66.298,213.415
1344.0,66.619,213.36
1348.0,66.917,213.34
1352.0,67.231,213.33
1356.0,67.545,213.34
1360.0,67.863,213.35
1364.0,68.178,213.37
1368.0,68.488,213.381
1372.0,68.791,213.408
1376.0,69.107,213.438
1380.0,69.425,213.457
1384.0,69.742,213.48
1388.0,70.061,213.508
1392.0,70.37,213.53
1396.0,70.685,213.56
1400.0,71.005,213.59
1404.0,71.325,213.631
1408.0,71.642,213.697
1412.0,71.956,213.782
1416.0,72.276,213.849
1420.0,72.6,213.953
1424.0,72.919,214.049
1428.0,73.235,214.126
1432.0,73.561,214.197
1436.0,73.874,214.267
1440.0,74.206,214.341
1444.0,74.539,214.421
1448.0,74.859,214.522
1452.0,75.171,214.632
1456.0,75.487,214.727
1460.0,75.812,214.805
1464.0,76.142,214.887
1468.0,76.47,214.975
1472.0,76.79,215.051
1476.0,77.114,215.13
1480.0,77.43,215.199
1484.0,77.759,215.258
1488.0,78.087,215.314
1492.0,78.421,215.379
1496.0,78.741,215.445
1500.0,79.067,215.507
1504.0,79.398,215.562
1508.0,79.718,215.61
1512.0,80.046,215.65
1516.0,80.364,215.69
1520.0,80.699,215.73
1524.0,81.022,215.773
1528.0,81.353,215.816
1532.0,81.679,215.848
1536.0,82.014,215.879
1540.0,82.345,215.91
1544.0,82.681,215.94
1548.0,83.002,215.98
1552.0,83.327,216.028
1556.0,83.666,216.159
1560.0,84.005,216.5
1564.0,84.33,216.86
1568.0,84.654,217.136
1572.0,84.979,217.309
1576.0,85.303,217.433
1578.09,85.416,217.49
