GENER00  1.00e+25  1.00e-06                                0.00
VERTICES
  0 172599.109211005.92
 fx 176380.319210026.99
 fy 176444.549203062.22
 fz 176423.609204834.21
 g0 176680.619205851.91
 g1 176715.429205980.43
 g2 176687.639205654.04
 g3 176695.179205832.96
 g4 177020.689207389.75
 g5 176951.699207874.37
 g6 176708.619204836.57
 g7 176710.929205298.64
 g8 176868.289205035.70
 g9 176817.869205217.35
 ga 176650.529211016.21
 gb 176575.269203301.90
 gc 176750.569208131.17
 gd 176507.109208802.43
 ge 176675.309208628.59
 gf 176789.719208245.32
 gg 177036.299200212.93
 gh 176756.989212208.03
 gi 176873.409211345.80
 gj 176832.289211572.59
 gk 177052.039211921.18
 gl 177045.879211958.21
 gm 176755.049203652.75
 gn 176655.429203863.80
 go 176615.629206147.26
 gp 176731.639206283.52
 gq 176635.599206651.05
 gr 176954.829201581.47
 gs 177023.259202644.62
 gt 176722.849203343.47
 gu 176774.179203641.78
 gv 176757.499204105.75
 gw 176544.909204309.19
 gx 176828.509209104.05
 gy 176692.699209561.05
 gz 176843.629209263.20
 h0 176906.389205827.33
 h1 176909.549205626.93
 h2 176889.999205698.56
 h3 176903.209205687.95
 h4 176907.849205741.44
 h5 177017.119208747.08
 h6 176979.229209001.23
 h7 177043.799208878.76
 h8 176972.179205498.03
 h9 176971.229205321.31
 ha 176892.539204548.40
 hb 176967.229203064.63
 hc 177028.139202648.54
 hd 177013.499206812.46
 he 177256.359207195.36
 hf 176723.889205635.54
 hg 176765.879205431.11
 hh 177024.009210205.05
 hi 177111.229210605.17
 hj 176782.979205641.18
 hk 176763.659205823.23
 hl 176838.979205704.31
 hm 176829.409205773.59
 hn 176909.599206007.26
 ho 176915.389206011.25
 hp 176984.199206155.01
 hq 176980.519206194.20
 hr 176875.039205518.67
 hs 176857.799205590.99
 ht 176872.829205888.49
 hu 176961.659203676.84
 hv 176983.119204097.85
 hw 177078.049203871.38
 hx 177173.239204474.97
 hy 176880.429205788.44
 hz 176902.329205809.80
 i0 176981.189205795.82
 i1 176970.669205723.58
 i2 177188.799204480.48
 i3 177084.469204989.94
 i4 177248.449204779.61
 i5 176992.579205722.66
 i6 176998.479205698.76
 i7 176994.129205721.27
 i8 176986.589205739.54
 i9 176993.689205754.76
 ia 177166.809206379.29
 ib 177057.459209677.77
 ic 177211.779210003.38
 id 176930.219205747.25
 ie 176939.529205760.18
 if 176934.519205784.54
 ig 177145.719203454.91
 ih 176962.039205615.78
 ii 177003.149205525.90
 ij 176917.889205690.80
 ik 176943.499205710.62
 il 176944.189205726.85
 im 176975.989205845.44
 in 176984.089205919.54
 io 176972.219205665.80
 ip 176975.989205641.40
 iq 177263.379210697.83
 ir 177334.439211018.47
 is 176980.859205796.59
 it 176985.139205832.57
 iu 176964.829205737.24
 iv 176966.029205740.53
 iw 176962.019205755.94
 ix 176961.929205707.13
 iy 176981.029205687.89
 iz 176978.919205770.05
 j0 177103.379205504.23
 j1 177156.689205417.57
 j2 177200.719205175.94
 j3 177117.139205652.16
 j4 177073.049209279.60
 j5 177232.819209401.26
 j6 177205.099209543.45
 j7 177240.349209429.85
 j8 177103.489205804.98
 j9 177145.049209077.78
 ja 177113.399208391.01
 jb 177095.199208678.80
 jc 177148.819208547.42
 jd 177022.089205743.87
 je 177018.489205753.00
 jf 177022.309205748.49
 jg 177017.989205778.64
 jh 177029.199205651.67
 ji 177028.879205693.37
 jj 177040.529205703.37
 jk 177031.969205531.78
 jl 177066.129205620.95
 jm 177042.509205798.38
 jn 177032.569205825.46
 jo 177069.089205862.98
 jp 177073.919205895.46
 jq 177061.959205759.65
 jr 177063.399205785.08
 js 177684.119200628.95
 jt 177485.999201420.14
 ju 177315.609212294.67
 jv 177071.899205707.96
 jw 177079.589205734.18
 jx 177121.939205923.24
 jy 177114.339206040.57
 jz 177089.809205323.08
 k0 177407.079205253.63
 k1 177449.539203888.87
 k2 177298.479204427.63
 k3 177525.619203972.43
 k4 177252.309209051.17
 k5 177275.009209083.92
 k6 177274.939209088.81
 k7 177307.339208610.95
 k8 177303.719208719.54
 k9 177371.659205611.12
 ka 177170.129209148.90
 kb 177135.429205757.42
 kc 177131.849205796.66
 kd 177200.819205621.38
 ke 177173.719205650.83
 kf 177176.169205708.82
 kg 177204.129205867.18
 kh 177204.309205868.51
 ki 177183.569208898.83
 kj 177190.249209036.61
 kk 177211.209208937.73
 kl 177465.269208093.26
 km 177287.599208320.69
 kn 177244.969208764.18
 ko 177249.019208825.67
 kp 177242.159205775.27
 kq 177293.619205437.99
 kr 177330.969205581.01
 ks 177248.039205897.83
 kt 177283.309206039.37
 ku 177361.249206096.18
 kv 177182.009206373.81
 kw 177210.929209155.06
 kx 177306.759209228.04
 ky 177315.339209257.66
 kz 177393.979205231.44
 l0 177428.909208787.08
 l1 177345.449209084.54
 l2 177366.649208939.83
 l3 177345.149208990.62
 l4 177365.869208958.63
 l5 177444.949205941.30
 l6 177371.799206093.54
 l7 177348.239209046.26
 l8 177364.199209071.69
 l9 177368.579209019.55
 la 177363.189205726.18
 lb 177375.639205705.37
 lc 177463.979203461.43
 ld 177259.309208952.60
 le 177290.189208995.52
 lf 177439.249202720.74
 lg 177757.559203179.79
 lh 177865.499211371.05
 li 177851.449211527.51
 lj 177329.629209130.46
 lk 177337.839209151.67
 ll 177322.879208850.14
 lm 177327.559208913.21
 ln 177358.419205854.57
 lo 177311.429209003.53
 lp 177311.179209058.44
 lq 177318.719209037.41
 lr 177466.079204916.12
 ls 177467.109208558.98
 lt 177494.569209679.30
 lu 177377.599209992.73
 lv 177357.289207198.27
 lw 177728.749207478.68
 lx 177629.189208050.99
 ly 177428.249208783.93
 lz 177419.019208801.56
 m0 177464.969209070.34
 m1 177503.619209099.06
 m2 177501.869209146.95
 m3 177917.199201714.75
 m4 177956.439202214.00
 m5 177478.199208998.94
 m6 177616.809208546.74
 m7 177681.199208472.15
 m8 177738.229208181.52
 m9 177521.789208828.30
 ma 177600.739210119.13
 mb 177694.269210430.10
 mc 177583.769206450.30
 md 177768.229206613.05
 me 177391.909209029.73
 mf 177368.529209071.56
 mg 177404.949209097.54
 mh 177394.879209133.42
 mi 177417.249208911.16
 mj 177500.359208569.46
 mk 177416.349208997.07
 ml 177408.159209026.44
 mm 177451.739209179.22
 mn 177423.079209255.97
 mo 177436.259209431.32
 mp 177580.049209601.79
 mq 177580.309209611.04
 mr 177490.299209316.17
 ms 177446.019209069.14
 mt 177446.649208933.55
 mu 177449.029208977.44
 mv 177527.809206169.88
 mw 177640.959205344.81
 mx 177641.729205524.32
 my 177586.029205833.64
 mz 177571.389205880.91
 n0 177742.939209012.84
 n1 177862.459210490.63
 n2 178144.009211063.00
 n3 177874.329206090.49
 n4 177955.999206544.30
 n5 177852.199203212.22
 n6 177838.879209268.59
 n7 177811.319209363.31
 n8 177977.589205742.12
 n9 178023.849205819.18
 na 177511.939208915.54
 nb 177558.589208976.82
 nc 177597.729209219.09
 nd 177569.979209299.96
 ne 177569.799208981.88
 nf 177597.589209035.95
 ng 177748.329205674.37
 nh 177919.839204574.77
 ni 177901.959204867.71
 nj 177673.669206057.53
 nk 177571.139208818.67
 nl 177663.449208723.04
 nm 177672.759209414.31
 nn 177618.609208906.00
 no 177991.099205044.97
 np 177680.419209073.73
 nq 177685.449209157.64
 nr 177874.219212284.67
 ns 178127.799211959.27
 nt 178153.529200397.81
 nu 178137.329204029.80
 nv 178231.379204107.28
 nw 177753.969209694.19
 nx 177829.999209909.10
 ny 177702.389208906.00
 nz 177746.579208789.56
 o0 178432.829212051.24
 o1 178609.469200615.57
 o2 178823.339201028.67
 o3 178748.829201463.31
 o4 178601.289210327.73
 o5 178271.619211034.02
 o6 178560.249209021.41
 o7 178518.469209123.90
 o8 178705.839205196.54
 o9 178799.299205853.57
 oa 177934.629209531.82
 ob 177879.069208796.27
 oc 177824.789209005.08
 od 177931.899208631.58
 oe 177912.519208780.50
 of 178023.389209141.86
 og 178175.669205162.61
 oh 178072.649209924.06
 oi 178157.849210250.75
 oj 178049.359208230.91
 ok 178103.069208522.52
 ol 178087.409208890.16
 om 178053.479209137.82
 on 178158.069209556.90
 oo 178284.119209667.12
