ELEM,P,T,SG,SW,X(WAT1),X(WAT2),PCAP,DG,DW
AA130 , 0.43320E+09 , 0.25901E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 23.33714 , 1016.28020
BA130 , 0.43432E+09 , 0.25900E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 23.33438 , 1016.73181
CA130 , 0.43557E+09 , 0.25898E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 23.32585 , 1017.24322
DA130 , 0.43669E+09 , 0.25895E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 23.31473 , 1017.70940
EA130 , 0.43744E+09 , 0.25893E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 23.30560 , 1018.02318
FA130 , 0.43794E+09 , 0.25891E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 23.29895 , 1018.23336
GA130 , 0.43844E+09 , 0.25890E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 23.29175 , 1018.44451
HA130 , 0.43894E+09 , 0.25888E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 23.28401 , 1018.65659
IA130 , 0.44019E+09 , 0.25882E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 23.26337 , 1019.18918
JA130 , 0.44219E+09 , 0.25872E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 23.22244 , 1020.05510
KA130 , 0.44519E+09 , 0.25854E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 23.15135 , 1021.37176
LA130 , 0.44920E+09 , 0.25826E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 23.04054 , 1023.15723
MA130 , 0.45322E+09 , 0.25799E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 22.93424 , 1024.93944
NA130 , 0.45724E+09 , 0.25780E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 22.85925 , 1026.67437
OA130 , 0.45976E+09 , 0.25778E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 22.85003 , 1027.69921
