ELEM,P,T,SG,SW,X(WAT1),X(WAT2),PCAP,DG,DW
AA118 , 0.39797E+07 , 0.25003E+03 , 0.12750E+00 , 0.87250E+00 , 0.10000E+01 , 0.00000E+00 , -.12750E+06 , 19.99590 , 799.12959
BA118 , 0.47370E+07 , 0.25003E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 19.99645 , 800.02009
CA118 , 0.57214E+07 , 0.25004E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 19.99799 , 801.16150
DA118 , 0.66086E+07 , 0.25004E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 20.00018 , 802.17506
EA118 , 0.72007E+07 , 0.25005E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 20.00203 , 802.84382
FA118 , 0.75957E+07 , 0.25005E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 20.00338 , 803.28686
GA118 , 0.79910E+07 , 0.25006E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 20.00486 , 803.72761
HA118 , 0.83865E+07 , 0.25006E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 20.00644 , 804.16612
IA118 , 0.93764E+07 , 0.25007E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 20.01065 , 805.25366
JA118 , 0.10963E+08 , 0.25010E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 20.01880 , 806.96588
KA118 , 0.13350E+08 , 0.25014E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 20.03248 , 809.47973
LA118 , 0.16546E+08 , 0.25019E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 20.05154 , 812.74352
MA118 , 0.19755E+08 , 0.25024E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 20.06760 , 815.92770
NA118 , 0.22974E+08 , 0.25027E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 20.07751 , 819.04710
OA118 , 0.24986E+08 , 0.25027E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 20.07880 , 820.96928
