MeasuredDepth,Delta_north,Delta_east
0.0,0.0,0.0
131.0,-0.0,-0.29
222.0,-0.46,-0.87
313.0,-0.63,-0.97
334.0,-0.68,-0.83
358.0,-1.04,-1.04
376.0,-1.62,-1.93
394.0,-2.53,-3.57
414.0,-3.78,-6.15
425.0,-4.52,-7.94
443.0,-5.82,-11.32
457.0,-7.15,-14.1
489.0,-11.03,-20.8
517.0,-14.95,-27.32
545.0,-19.22,-34.43
574.0,-24.11,-42.58
603.0,-29.64,-51.59
628.0,-34.95,-60.08
659.0,-41.98,-71.57
687.0,-48.77,-82.63
716.0,-56.34,-94.74
745.0,-64.25,-107.66
774.0,-72.55,-121.47
790.0,-77.33,-129.44
838.0,-91.98,-153.35
865.0,-100.22,-166.8
893.0,-108.7,-180.91
922.0,-117.53,-195.6
950.0,-126.14,-209.92
979.0,-135.1,-224.84
1007.0,-143.7,-239.44
1039.0,-153.19,-256.58
1069.0,-161.68,-272.87
1097.0,-169.48,-287.86
1125.0,-177.7,-302.39
1153.0,-186.18,-316.5
1201.0,-200.19,-340.29
1249.0,-213.66,-363.61
1297.0,-226.73,-386.25
1345.0,-239.49,-408.36
1393.0,-252.17,-429.89
1441.0,-264.72,-450.77
1489.0,-277.16,-471.08
1546.0,-292.13,-494.57
1589.0,-303.39,-511.92
1600.0,-306.18,-516.21
