MeasuredDepth,Delta_north,Delta_east
0.0,0.0,0.0
470.0,-6.52,6.8
479.0,-6.92,6.47
488.0,-7.28,6.06
498.0,-7.6,5.55
507.0,-7.8,5.05
517.0,-7.87,4.5
526.0,-7.8,4.01
536.0,-7.65,3.44
545.0,-7.46,2.91
563.0,-7.0,1.85
573.0,-6.69,1.26
582.0,-6.31,0.73
591.0,-5.85,0.19
601.0,-5.29,-0.46
610.0,-4.77,-1.09
655.0,-2.08,-3.73
666.0,-1.37,-4.27
675.0,-0.73,-4.8
685.0,0.07,-5.49
694.0,0.92,-6.2
720.0,3.92,-8.84
749.0,8.39,-12.74
777.0,14.12,-17.54
809.0,22.77,-24.08
839.0,32.84,-30.88
866.0,43.2,-37.56
892.0,54.08,-44.45
903.0,58.9,-47.46
942.0,76.4,-58.68
971.0,89.52,-67.47
1004.0,104.48,-77.21
1060.0,130.01,-92.73
1125.0,159.33,-109.87
1185.0,186.15,-125.23
1212.0,198.21,-131.93
1276.0,226.47,-147.46
1322.0,246.32,-158.38
1382.0,272.19,-171.65
1437.0,296.55,-183.0
1560.0,345.91,-201.08
