MeasuredDepth,Delta_north,Delta_east
0.0,0.0,0.0
221.0,0.77,-0.58
242.0,0.81,-0.67
288.0,0.93,-1.09
298.0,1.04,-1.22
317.0,0.97,-1.37
337.0,0.21,-1.58
356.0,-1.11,-1.94
374.0,-2.87,-2.32
392.0,-5.04,-2.83
412.0,-7.97,-3.78
430.0,-11.22,-4.75
448.0,-15.07,-5.56
466.0,-19.49,-6.17
486.0,-24.95,-7.16
504.0,-30.32,-8.44
523.0,-36.44,-10.09
535.0,-40.54,-11.39
558.0,-49.07,-13.9
575.0,-55.65,-15.79
593.0,-62.5,-17.82
623.0,-73.68,-21.13
641.0,-80.49,-23.15
670.0,-92.16,-26.49
698.0,-104.2,-29.83
726.0,-117.02,-33.39
764.0,-135.81,-38.59
800.0,-154.51,-43.78
828.0,-169.12,-47.97
857.0,-184.24,-52.16
886.0,-199.24,-56.18
923.0,-217.95,-61.02
950.0,-231.5,-64.4
978.0,-245.64,-67.93
1016.0,-264.98,-72.39
1043.0,-278.76,-75.45
1072.0,-293.59,-79.01
1109.0,-312.66,-83.59
1139.0,-328.17,-87.31
1177.0,-347.96,-92.06
1215.0,-367.99,-96.69
1234.0,-378.05,-99.1
1263.0,-393.51,-102.81
1302.0,-414.3,-108.58
1340.0,-434.61,-114.59
1379.0,-455.65,-120.04
1427.0,-481.53,-126.49
1453.0,-495.54,-129.98
