MeasuredDepth,Delta_north,Delta_east
0.0,0.0,0.0
317.0,0.26,0.64
336.0,0.3,1.01
355.0,0.4,1.92
373.0,0.72,3.25
393.0,1.28,5.3
412.0,2.14,7.8
430.0,3.23,10.64
450.0,4.36,14.38
470.0,5.48,18.73
495.0,7.54,24.96
513.0,9.51,29.84
541.0,12.9,37.99
569.0,16.84,46.84
597.0,21.3,56.4
625.0,26.11,66.72
660.0,33.0,80.81
680.0,36.95,89.48
700.0,40.14,98.47
719.0,42.65,107.22
733.0,44.18,113.88
772.0,47.93,133.17
809.0,51.65,152.28
872.0,57.08,186.84
899.0,59.37,202.15
908.0,60.26,207.2
938.0,62.75,223.84
957.0,63.75,234.24
979.0,64.9,246.17
1000.0,66.92,257.57
1031.0,71.01,274.58
1059.0,74.68,290.17
1088.0,77.9,306.38
1107.0,80.05,316.92
1136.0,83.44,332.88
1167.0,86.45,349.95
1195.0,88.77,365.44
1225.0,91.22,381.87
1245.0,93.21,392.61
1265.0,95.93,403.15
1285.0,99.33,413.3
1309.0,103.75,424.84
1338.0,109.32,438.29
1366.0,114.68,451.22
1404.0,121.98,468.45
1449.0,130.39,488.76
1486.0,137.77,506.09
1507.0,142.52,516.28
