MeasuredDepth,Delta_north,Delta_east
0.0,0.0,0.0
347.0,-2.16,-0.7
362.0,-2.34,-0.59
372.0,-2.5,-0.33
382.0,-2.77,0.09
391.0,-3.13,0.63
401.0,-3.63,1.37
410.0,-4.15,2.15
420.0,-4.77,3.17
429.0,-5.35,4.26
439.0,-6.08,5.69
448.0,-6.85,7.14
462.0,-8.16,9.59
486.0,-10.7,14.22
519.0,-14.54,21.15
548.0,-18.03,27.72
576.0,-21.59,34.7
604.0,-25.48,42.17
633.0,-29.83,50.54
661.0,-34.28,59.28
689.0,-38.98,68.72
717.0,-44.09,78.96
745.0,-49.64,89.85
773.0,-55.61,101.31
802.0,-62.15,113.38
830.0,-68.63,126.88
859.0,-75.77,141.2
888.0,-83.35,156.41
926.0,-93.23,177.62
955.0,-100.73,194.47
985.0,-108.7,212.36
1014.0,-116.4,230.07
1042.0,-123.9,247.33
1070.0,-131.82,264.31
1099.0,-140.15,281.03
1127.0,-147.64,296.72
1156.0,-154.82,312.85
1184.0,-161.8,328.18
1212.0,-168.88,343.36
1241.0,-176.15,358.95
1269.0,-183.13,373.91
1309.0,-193.01,395.09
1338.0,-199.79,410.33
1367.0,-206.53,425.13
1417.0,-219.18,449.45
1445.0,-226.39,463.0
1476.0,-234.32,478.23
1504.0,-241.55,491.83
1541.0,-251.07,509.74
1589.0,-263.38,533.39
1636.0,-276.36,556.32
1641.0,-277.85,558.71
