MeasuredDepth,Delta_north,Delta_east
0.0,0.0,0.0
379.0,1.12,-4.83
400.0,1.44,-5.24
408.0,1.68,-5.37
446.0,3.4,-5.08
484.0,6.86,-3.52
512.0,10.89,-1.54
560.0,19.16,5.1
590.0,25.31,10.41
629.0,35.66,17.89
657.0,44.32,22.74
678.0,50.58,25.28
703.0,57.04,27.94
732.0,64.21,31.21
778.0,76.22,39.81
807.0,83.71,40.23
836.0,91.24,43.58
845.0,93.66,44.66
850.0,95.02,45.27
875.0,101.98,48.48
905.0,110.5,54.45
951.0,124.04,58.61
998.0,138.84,65.36
1039.0,152.34,71.95
1067.0,161.94,76.84
1121.0,181.13,86.84
1161.0,195.78,94.63
1208.0,213.72,103.77
1265.0,236.18,114.72
1294.0,247.96,120.47
1322.0,259.87,126.27
1350.0,272.31,132.34
1379.0,285.59,138.82
1407.0,298.55,145.14
1434.0,310.94,151.45
1463.0,324.38,158.45
1491.0,337.75,165.11
1549.0,365.96,178.87
1580.0,380.41,185.92
1600.0,389.7,190.45
