ELEM,P,T,SG,SW,X(WAT1),X(WAT2),PCAP,DG,DW,TIME
AA154 , 0.39733E+07 , 0.24994E+03 , 0.14867E+00 , 0.85133E+00 , 0.10000E+01 , 0.00000E+00 , -.14867E+06 , 19.96269 , 799.27146,-.36282E+10
AA154 , 0.39733E+07 , 0.24994E+03 , 0.14867E+00 , 0.85133E+00 , 0.10000E+01 , 0.00000E+00 , -.14867E+06 , 19.96269 , 799.27146,0.34722E-02
AA154 , 0.39733E+07 , 0.24994E+03 , 0.14867E+00 , 0.85133E+00 , 0.10000E+01 , 0.00000E+00 , -.14867E+06 , 19.96269 , 799.27145,0.18264E+03
AA154 , 0.39733E+07 , 0.24994E+03 , 0.14867E+00 , 0.85133E+00 , 0.10000E+01 , 0.00000E+00 , -.14867E+06 , 19.96269 , 799.27144,0.36528E+03
AA154 , 0.39733E+07 , 0.24994E+03 , 0.14867E+00 , 0.85133E+00 , 0.10000E+01 , 0.00000E+00 , -.14867E+06 , 19.96269 , 799.27144,0.54792E+03
AA154 , 0.39733E+07 , 0.24994E+03 , 0.14868E+00 , 0.85132E+00 , 0.10000E+01 , 0.00000E+00 , -.14868E+06 , 19.96269 , 799.27143,0.73056E+03
AA154 , 0.39733E+07 , 0.24994E+03 , 0.14868E+00 , 0.85132E+00 , 0.10000E+01 , 0.00000E+00 , -.14868E+06 , 19.96270 , 799.27142,0.91308E+03
AA154 , 0.39733E+07 , 0.24994E+03 , 0.14868E+00 , 0.85132E+00 , 0.10000E+01 , 0.00000E+00 , -.14868E+06 , 19.96270 , 799.27142,0.99341E+03
