ELEM,P,T,SG,SW,X(WAT1),X(WAT2),PCAP,DG,DW,TIME
IA155 , 0.93223E+07 , 0.25002E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 19.99184 , 805.27474,-.36282E+10
IA155 , 0.93223E+07 , 0.25002E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 19.99184 , 805.27474,0.34722E-02
IA155 , 0.93223E+07 , 0.25002E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 19.99184 , 805.27475,0.18264E+03
IA155 , 0.93224E+07 , 0.25002E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 19.99184 , 805.27475,0.36528E+03
IA155 , 0.93224E+07 , 0.25002E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 19.99184 , 805.27475,0.54792E+03
IA155 , 0.93224E+07 , 0.25002E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 19.99184 , 805.27475,0.73056E+03
IA155 , 0.93224E+07 , 0.25002E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 19.99184 , 805.27476,0.91308E+03
IA155 , 0.93224E+07 , 0.25002E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 19.99184 , 805.27476,0.99341E+03
