ELEM,P,T,SG,SW,X(WAT1),X(WAT2),PCAP,DG,DW,TIME
AA113 , 0.39733E+07 , 0.24994E+03 , 0.14632E+00 , 0.85368E+00 , 0.10000E+01 , 0.00000E+00 , -.14632E+06 , 19.96285 , 799.27075,-.36282E+10
AA113 , 0.39733E+07 , 0.24994E+03 , 0.14632E+00 , 0.85368E+00 , 0.10000E+01 , 0.00000E+00 , -.14632E+06 , 19.96285 , 799.27075,0.34722E-02
AA113 , 0.39733E+07 , 0.24994E+03 , 0.14632E+00 , 0.85368E+00 , 0.10000E+01 , 0.00000E+00 , -.14632E+06 , 19.96285 , 799.27075,0.18264E+03
AA113 , 0.39733E+07 , 0.24994E+03 , 0.14632E+00 , 0.85368E+00 , 0.10000E+01 , 0.00000E+00 , -.14632E+06 , 19.96285 , 799.27074,0.36528E+03
AA113 , 0.39733E+07 , 0.24994E+03 , 0.14632E+00 , 0.85368E+00 , 0.10000E+01 , 0.00000E+00 , -.14632E+06 , 19.96286 , 799.27073,0.54792E+03
AA113 , 0.39733E+07 , 0.24994E+03 , 0.14632E+00 , 0.85368E+00 , 0.10000E+01 , 0.00000E+00 , -.14632E+06 , 19.96286 , 799.27072,0.73056E+03
AA113 , 0.39733E+07 , 0.24994E+03 , 0.14632E+00 , 0.85368E+00 , 0.10000E+01 , 0.00000E+00 , -.14632E+06 , 19.96286 , 799.27072,0.91308E+03
AA113 , 0.39733E+07 , 0.24994E+03 , 0.14632E+00 , 0.85368E+00 , 0.10000E+01 , 0.00000E+00 , -.14632E+06 , 19.96286 , 799.27072,0.99341E+03
